등록번호,대표자,상호,소재지,전화번호,구
41113-2020-00021,박이윤,6단지OK공인중개사사무소,경기도 수원시 권선구 금곡로 20 와이시티칠보마을 6단지 상가동 103호(금곡동),031-278-2212,권선구
41113-2021-00116,허인정,GS자이공인중개사사무소,"경기도 수원시 권선구 입북로 50 301동 105호(입북동, 서수원자이아파트)",031-293-0400,권선구
가3680-2956,황의영,Hi공인중개사사무소,경기도 수원시 권선구 구운중로51번길 11 (구운동),031-278-1210,권선구
41113-2018-00119,이한덕,I PARK 한림공인중개사사무소,"경기도 수원시 권선구 곡선로 20 상가동 103호(권선동, 수원아이파크시티6단지)",031-221-0085,권선구
41113-2025-00046,박종서,IPARKCITY더드림부동산공인중개사사무소,"경기도 수원시 권선구 경수대로 202 , 12단지 16호(권선동)",031-212-3550,권선구
41113-2025-00016,조영미,IPARK스타공인중개사사무소,경기도 수원시 권선구 경수대로212번길 34 1007동 101호(권선동),031-226-2255   -,권선구
41113-2016-00078,서회자,IPARK일등공인중개사사무소,"경기도 수원시 권선구 덕영대로1190번길 100 707동 112호,113호(권선동,수원아이파크시티7단지)",031-221-7700,권선구
41113-2018-00095,송방진,IPARK캐슬공인중개사,"경기도 수원시 권선구 동수원로177번길 40 130호(권선동, 수원아이파크시티8단지)",031-256-7700,권선구
41113-2025-00023,권형주,IPARK한결공인중개사사무소,"경기도 수원시 권선구 덕영대로1190번길 100 , 718동 110호(권선동)",031-233-0300,권선구
41113-2025-00024,정연복,IPARK한결합동공인중개사사무소,"경기도 수원시 권선구 덕영대로1190번길 100 , 718동 110호(권선동)",031-233-0300,권선구
41113-2023-00076,이승희,KL공인중개사사무소,경기도 수원시 권선구 효원로 218 803호,031-548-2424,권선구
가3691-0877,주민철,LBA부동산가이드공인중개사사무소,경기도 수원시 권선구 매송고색로 753 (고색동),031-293-6668,권선구
가3680-1202,이윤숙,LG공인중개사사무소,"경기도 수원시 권선구 권중로 158 412동 108호(권선동, 벽산아파트)",031-226-0700,권선구
가3680-1532,채수근,LG공인중개사사무소,"경기도 수원시 권선구 매실로 70 상가 301-104(호매실동,호매실GS아파트)",031-295-8989,권선구
가3680-1591,최애숙,LG공인중개사사무소,"경기도 수원시 권선구 금곡로73번길 71 제주상가동 107호,108호(금곡동,금곡엘지아파트)",031-298-7700,권선구
가3680-2350,최오석,LG삼익공인중개사사무소,경기도 수원시 권선구 매실로 70 (호매실동),297-5855,권선구
41113-2025-00041,천홍철,NEXUS부동산공인중개사사무소,"경기도 수원시 권선구 효원로 218 ,801호 (권선동)",0507-1401-0168,권선구
41113-2021-00154,우경희,OK공인중개사사무소,경기도 수원시 권선구 서호동로26번길 33,,권선구
41113-2017-00098,정명신,OK호반공인중개사사무소,"경기도 수원시 권선구 매곡로 43 상가동 107호(금곡동, 호반베르디움 The Central)",031-291-3200,권선구
가3680-3009,이성묵,SK공인중개사사무소,"경기도 수원시 권선구 여기산로 19 , 상가동 105호(구운동, 선경아파트)",031-295-1300,권선구
가3680-1968,강회분,SK공인중개사사무소,경기도 수원시 권선구 세권로195번길 33 (권선동),222-8972,권선구
41113-2023-00101,박미례,THE채움공인중개사사무소,경기도 수원시 권선구 장다리로 37 1층 8호(세류동),031-222-3878,권선구
41113-2017-00156,박종정,THE행복한공인중개사사무소,경기도 수원시 권선구 서수원로577번길 341 모아미래도 단지내 상가B117호(금곡동),031-295-7032,권선구
41113-2022-00018,이밀선,The ONE 부동산공인중개사사무소,경기도 수원시 권선구 호매실로90번길 49 111호(호매실동),031-296-0011,권선구
41113-2017-00111,조미숙,e-편한한울공인중개사사무소,경기도 수원시 권선구 권광로 56 (권선동),031-223-8924,권선구
가3680-2716,김칠환,e뱅크공인중개사사무소,경기도 수원시 권선구 동수원로146번길 6-2 101호(곡반정동),031-237-8282,권선구
가3680-1853,박혜영,가가공인중개사사무소,경기도 수원시 권선구 동수원로146번길 115 (곡반정동),221-0074,권선구
가3680-461,이전희,가나공인중개사사무소,경기도 수원시 권선구 오목천로 59 (오목천동),031-295-0089,권선구
41113-2019-00094,주영민,가나공인중개사사무소,경기도 수원시 권선구 권광로 116 3층(권선동),031-212-3030,권선구
41113-2017-00185,곽현실,가나합동공인중개사사무소,경기도 수원시 권선구 오목천로 59 (오목천동),031-294-8245,권선구
41113-2025-00033,이완제,가온골드공인중개사사무소,"경기도 수원시 권선구 권선로357번길 54 , 101호(서둔동)",031-214-0001,권선구
41113-2023-00012,홍서현,가온공인중개사사무소,경기도 수원시 권선구 권선로357번길 53 A동 109호 (서둔동),031-295-0777 -,권선구
가3680-2680,심경숙,감지공인중개사사무소,경기도 수원시 권선구 효원로 174 104호(권선동),031-221-2468  031-223-0204,권선구
41113-2025-00034,이상준,강남공인중개사사무소,"경기도 수원시 권선구 덕영대로963번길 20 , 104호(세류동)",,권선구
가3680-2738,허정희,강남공인중개사사무소,경기도 수원시 권선구 수성로 18 (구운동),031-295-0054,권선구
가3680-2136,임정호,강남명문공인중개사사무소,"경기도 수원시 권선구 수성로 18 상가 107호(구운동, 강남아파트)",031-296-4600,권선구
가3680-2987,황정현,강남부동산공인중개사사무소,경기도 수원시 권선구 서수원로 607 상가동 110호(금곡동),031-296-4100,권선구
가3680-1852,박은미,강산공인중개사사무소,경기도 수원시 권선구 동수원로146번길 233 (곡반정동),031-221-8500,권선구
41113-2020-00092,정영은,강오공인중개사사무소,경기도 수원시 권선구 탑동로57번길 2 (탑동),031-294-4989,권선구
41113-2022-00117,이종수,강오합동공인중개사사무소,경기도 수원시 권선구 탑동로57번길 2 1층 102호(탑동),031-294-4989,권선구
가3680-2905,안사영,거산공인중개사사무소,"경기도 수원시 권선구 고현로5번길 25 상가 105호(고색동, 거산아파트)",031-293-3955,권선구
41113-2019-00092,이동열,거성공인중개사사무소,경기도 수원시 권선구 금곡로212번길 14 108호(금곡동),031-294-2900,권선구
가3680-2166,서현숙,거성공인중개사사무소,"경기도 수원시 권선구 권선로 308-18 지원상가동 101호 (고색동, 수원종합공구단지)",031-278-1122,권선구
41113-2024-00066,이인영,건국공인중개사사무소,경기도 수원시 권선구 세권로 64,-,권선구
가3680-840,김종복,경기공인중개사사무소,경기도 수원시 권선구 상탑로 90-3 (서둔동),031-294-6400,권선구
41113-2020-00069,홍순림,경남금호탑공인중개사사무소,경기도 수원시 권선구 호매실로165번길 70 나상가동 102호(호매실동),031-221-1000,권선구
41113-2019-00121,이선미,경남어울림공인중개사사무소,"경기도 수원시 권선구 호매실로165번길 70 ,  나상가동 101호(호매실동, 호매실경남아너스빌)",031-296-0300,권선구
41113-2019-00122,주진선,경남어울림합동공인중개사사무소,"경기도 수원시 권선구 호매실로165번길 70 나동 101호(호매실동, 호매실경남아너스빌)",031-296-0300,권선구
41113-2025-00017,고현주,고래가맹거래사공인중개사사무소,"경기도 수원시 권선구 곡선로49번길 13-25 , 2층(곡반정동)",031-304-6111,권선구
가3680-740,윤양숙,고바우공인중개사사무소,경기도 수원시 권선구 매송고색로 671 (고색동),031-297-0083,권선구
41113-2024-00069,장진영,고색미르공인중개사사무소,경기도 수원시 권선구 매송고색로699번길 3,-,권선구
41113-2019-00023,박찬옥,고색역시티공인중개사사무소,경기도 수원시 권선구 매송고색로 723 남영빌딩 101호(고색동),031-295-4989,권선구
가3680-2631,서윤석,골드공인중개사사무소,경기도 수원시 권선구 산업로 198 제1층  제101호(고색동),-,권선구
가3680-3065,전영숙,골드공인중개사사무소,경기도 수원시 권선구 세권로304번길 52 권선프라자 106호(권선동),031-239-0078,권선구
41113-2017-00073,임세미,골드센트럴공인중개사사무소,"경기도 수원시 권선구 세류로 39 상가동 105-2호(세류동, LH수원센트럴타운2단지)",031-224-9788,권선구
41113-2019-00046,이강옥,골든공인중개사사무소,경기도 수원시 권선구 삼천병마로 1581 1층 (오목천동),031-296-4989,권선구
나3680-565,전성원,공인중개사전성원사무소,경기도 수원시 권선구 세지로94번길 37 (권선동),031-237-6060,권선구
가3680-2487,이경민,과청공인중개사사무소,경기도 수원시 권선구 상탑로 107-1 (서둔동),031-296-8949,권선구
41113-2022-00138,전보국,광개토공인중개사사무소,경기도 수원시 권선구 권선로 494 1층(세류동),-,권선구
41113-2018-00004,박원일,교차공인중개사사무소,경기도 수원시 권선구 권선로 582 (세류동),031-232-8777,권선구
41113-2024-00079,김희영,구삼성합동공인중개사사무소,"경기도 수원시 권선구 효원로230번길 24 ,103-1호(권선동, 대우미래사랑오피스텔)",,권선구
41113-2019-00139,권숙,구운부동산공인중개사사무소,경기도 수원시 권선구 구운로 50-1 101호(구운동),031-278-2599,권선구
41113-2015-00007,문동진,굿모닝공인중개사사무소,경기도 수원시 권선구 서수원로523번길 30-15 1층(금곡동),031-294-1111,권선구
41113-2019-00020,정영민,굿모닝공인중개사사무소,"경기도 수원시 권선구 세권로316번길 15 상가동 103호(권선동, 권선3지구 상록아파트)",031-226-6200,권선구
41113-2016-00009,이상돈,굿모닝공인중개사사무소,경기도 수원시 권선구 하탑로53번길 8-3 (탑동),031-295-0070,권선구
41113-2019-00145,성태진,굿모닝합동공인중개사사무소,경기도 수원시 권선구 하탑로53번길 8-8 1층(탑동),031-295-0070,권선구
41113-2023-00066,심준기,권선공인중개사사무소,"경기도 수원시 권선구 권선로694번길 25 , 수원시청역SK뷰 222동 103호(권선동)",031-223-6711,권선구
41113-2017-00172,김성기,권선시장공인중개사사무소,경기도 수원시 권선구 세권로 179 102호(권선동),031-222-9770,권선구
41113-2024-00045,지현종,권선시티부동산공인중개사사무소,경기도 수원시 권선구 덕영대로1190번길 100 7단지 정문상가707동 105호,031-233-6554,권선구
41113-2015-00109,이은정,권선아이파크공인중개사사무소,"경기도 수원시 권선구 덕영대로1190번길 100 707동 113호, 114호(권선동,수원아이파크시티7단지)",031-267-0005,권선구
가3680-2706,노영진,권선자이114공인중개사사무소,경기도 수원시 권선구 권광로 55 (권선동),031-226-4989,권선구
가3680-2413,이동후,권선자이송이공인중개사사무소,"경기도 수원시 권선구 권광로 55 권선자이상가 제상가1동 116호(권선동, 권선자이 이편한세상)",031-226-6113,권선구
41113-2023-00015,서환서,권선탑부동산공인중개사사무소,경기도 수원시 권선구 호매실로 21-51 101호(고색동),031-278-1200,권선구
41113-2023-00055,권세호,권세호공인중개사사무소,"경기도 수원시 권선구 경수대로 193 , 세류비즈타워 803-2호(세류동)",-,권선구
나3680-519,최진수,귀빈부동산중개인사무소,경기도 수원시 권선구 삼천병마로1598번길 16 1층(오목천동),031-293-8989,권선구
41113-2017-00004,이상응,그랜드공인중개사사무소,경기도 수원시 권선구 정조로 487 (세류동),031-221-7577,권선구
가3680-1570,이인순,금강공인중개사사무소,"경기도 수원시 권선구 덕영대로1323번길 26-7 상가 101호(권선동, 우남아파트)",031-237-7080,권선구
41113-2017-00040,최은주,금강센트라우스공인중개사사무소,"경기도 수원시 권선구 세화로168번길 15 상가동 104호(서둔동, 센트라우스)",031-298-8500,권선구
41113-2024-00087,조민경,금곡LG칠보공인중개사사무소,경기도 수원시 권선구 금곡로73번길 71 상가동 109호,,권선구
가3680-2883,이자경,금곡부동산공인중개사사무소,경기도 수원시 권선구 서수원로591번길 26 1층,031-296-2700,권선구
41113-2024-00013,박지운,금토공인중개사사무소,경기도 수원시 권선구 세권로 16 상가동 103호,031-223-8923,권선구
41113-2024-00014,최지안,금토부동산공인중개사사무소,경기도 수원시 권선구 세권로 16 103호,031-223-8923,권선구
41113-2024-00077,정명애,금호&아너스빌OK부동산공인중개사사무소,"경기도 수원시 권선구 호매실로165번길 70 ,나상가동 103호 (호매실동)",031-297-6666,권선구
가3680-2446,김은옥,금호공인중개사사무소,경기도 수원시 권선구 금호로 23 1층 (호매실동),031-296-6000,권선구
41113-2023-00063,이세호,금호공인중개사사무소,경기도 수원시 권선구 구운로85번길 12 105호(구운동),,권선구
41113-2024-00025,조원국,금호단지내공인중개사사무소,경기도 수원시 권선구 서부로1670번길 33 101호(고색동),-4775,권선구
41113-2024-00027,윤석열,금호단지내부동산공인중개사사무소,"경기도 수원시 권선구 서부로1670번길 33 101호(고색동, 수원금호리첸시아 퍼스티지1단지상가)",031-254-8300,권선구
41113-2021-00158,배익효,기업부동산공인중개사사무소,"경기도 수원시 권선구 오목천로152번길 68 120호(고색동, 골든프라자)",031-278-7090,권선구
41113-2024-00080,김영희,김박사부동산공인중개사사무소,경기도 수원시 권선구 경수대로384번길 50 105호,031-222-1234,권선구
41113-2022-00054,문성환,김앤문하나공인중개사사무소,경기도 수원시 권선구 세권로 93 1층(세류동),031-226-6070,권선구
41113-2022-00102,윤종미,꿀벌공인중개사사무소,경기도 수원시 권선구 구운중로 7-1 1층(구운동),031-296-7151,권선구
가3680-2823,백승화,나라공인중개사사무소,"경기도 수원시 권선구 동수원로145번길 23 400-109 (권선동,수원아이파크시티4단지)",031-232-1500,권선구
41113-2015-00058,김승현,나래공인중개사사무소,경기도 수원시 권선구 세류로 46-1 (세류동),031-221-3993,권선구
41113-2015-00107,전경희,나래합동공인중개사사무소,경기도 수원시 권선구 세류로 46-1 (세류동),031-221-3996,권선구
가3680-2633,이은자,녹색공인중개사사무소,경기도 수원시 권선구 권광로27번길 51 (권선동),031-232-8999,권선구
가3680-2768,신경미,놀러와공인중개사사무소,경기도 수원시 권선구 정조로413번길 62 (세류동),031-238-7388,권선구
41113-2021-00014,박준우,뉴타운공인중개사사무소,경기도 수원시 권선구 세지로 42 (세류동),031-893-8000,권선구
41113-2022-00135,김영애,뉴타운공인중개사사무소,경기도 수원시 권선구 구운로 17-1 (구운동),031-278-0600 -,권선구
41113-2021-00059,박희정,능실금호031-292-5949공인중개사사무소,"경기도 수원시 권선구 호매실로165번길 71 110동 105-2호(호매실동, 호매실금호어울림에듀포레)",031-292-5949,권선구
가3680-2976,공미경,다산공인중개사사무소,경기도 수원시 권선구 권선로 638 (권선동),222-6614,권선구
41113-2016-00135,오인숙,다온공인중개사사무소,경기도 수원시 권선구 서수원로523번길 36 (금곡동),031-296-1566,권선구
41113-2016-00097,진혜정,다올공인중개사사무소,경기도 수원시 권선구 정조로 543 (세류동),031-292-9661,권선구
41113-2020-00075,최용진,단지내수원하늘채공인중개사사무소,"경기도 수원시 권선구 망포로 13 , 단지내상가 101호(수원하늘채더퍼스트1단지후문, 곡반정동)",031-234-5006,권선구
41113-2023-00007,오민곤,단지내한신더휴공인중개사사무소,경기도 수원시 권선구 호매실로218번길 111 호매실13단지 상가동 103호(호매실동),031-291-1400,권선구
41113-2020-00052,박혜진,단지내해모로공인중개사사무소,"경기도 수원시 권선구 세류로 60 상가동 101호(세류동, 수원역해모로)",031-233-3500,권선구
41113-2023-00095,양태식,당근부동산공인중개사사무소,"경기도 수원시 권선구 권선로639번길 30 ,102호 (권선동)",031-225-6025,권선구
41113-2024-00035,함철훈,당근부동산공인중개사사무소,경기도 수원시 권선구 세권로 156 201호(세류동),-,권선구
가3680-2396,남민훈,당수공인중개사사무소,경기도 수원시 권선구 당진로14번길 57 (당수동),031-416-2442,권선구
41113-2016-00050,이재임,당수동1번지공인중개사사무소,경기도 수원시 권선구 당진로 23 101호 (당수동),031-415-9100,권선구
가3680-3108,홍진기,대경공인중개사사무소,경기도 수원시 권선구 세권로 58 (세류동),031-237-4050,권선구
41113-2023-00082,오대환,대륙공인중개사사무소,"경기도 수원시 권선구 서부로 1534 상가동 106호(고색동, 대한아파트)",,권선구
41113-2017-00090,최병문,대림공인중개사사무소,경기도 수원시 권선구 장다리로 138 101호(권선동),031-225-8989  031-236-8849,권선구
41113-2016-00048,백미란,대림공인중개사사무소,경기도 수원시 권선구 매송고색로711번길 22 (고색동),031-294-7400,권선구
41113-2016-00095,정찬숙,대박공인중개사사무소,"경기도 수원시 권선구 금곡로 204 102호(금곡동, 세종타운)",031-296-7200,권선구
가3680-2567,임정연,대박공인중개사사무소,경기도 수원시 권선구 덕영대로 1158 1층(세류동),031-239-2244,권선구
41113-2017-00173,김화옥,대성공인중개사사무소,경기도 수원시 권선구 구운로64번길 7-1 (구운동),031-297-3993,권선구
나3680-505,김무순,대성부동산중개,경기도 수원시 권선구 세지로27번길 1 (세류동),031-234-3254  031-236-1209,권선구
가3680-1211,왕예숙,대신공인중개사사무소,경기도 수원시 권선구 권중로 136 상가동 103호(권선동),031-232-3337,권선구
가3680-2594,도혜숙,대신공인중개사사무소,경기도 수원시 권선구 정조로 520 (세류동),031-238-3993,권선구
가3680-2183,손인선,대영공인중개사사무소,경기도 수원시 권선구 정조로 384 (세류동),267-1308,권선구
가3680-2163,김한식,대영공인중개사사무소,경기도 수원시 권선구 구운중로 22 (구운동),295-0059,권선구
가3680-3045,김연희,대우공인중개사사무소,경기도 수원시 권선구 동탄원천로813번길 16 (권선동),031-225-8945,권선구
41113-2018-00068,김문호,대우푸르지오공인중개사사무소,"경기도 수원시 권선구 입북로77번길 61 , 219동상가동 105호(입북동, 서수원 레이크 푸르지오 2단지)",031-227-4455,권선구
가3680-2858,이경숙,대원1번지공인중개사사무소,"경기도 수원시 권선구 고산로6번길 45 상가동 101호, 102호(고색동,대원아파트)",031-298-3007,권선구
41113-2015-00140,채소현,대원공인중개사사무소,"경기도 수원시 권선구 고산로6번길 45 108호(고색동,대원아파트상가)",031-293-9700,권선구
가3680-2648,박대순,대지공인중개사사무소,경기도 수원시 권선구 동수원로146번길 187 (곡반정동),239-4924,권선구
가3680-2125,권한순,대한공인중개사사무소,경기도 수원시 권선구 서부로 1534 (고색동),297-2497,권선구
가3680-1061,강기모,대한공인중개사사무소,경기도 수원시 권선구 세지로 102 (권선동),031-222-8022,권선구
가3681-2579,허길상,대한공인중개사합동사무소,경기도 수원시 권선구 세지로 102 (권선동),031-235-6922,권선구
41113-2015-00166,김용섭,대한반도공인중개사사무소,경기도 수원시 권선구 장다리로 68 1층 (세류동),031-255-8949  031-224-2080  031-548-1249,권선구
41113-2024-00063,백진현,대현공인중개사사무소,"경기도 수원시 권선구 세화로141번길 10-2 , 1층(서둔동)",031-296-3555,권선구
41113-2025-00031,유석태,더글로벌25공인중개사사무소,"경기도 수원시 권선구 세권로138번길 25 , 101호(세류동)",,권선구
41113-2022-00042,김경남,더드림공인중개사사무소,경기도 수원시 권선구 권선로357번길 54 115호(서둔동),031-295-3550 -,권선구
41113-2024-00090,김광민,더리브공인중개사사무소,경기도 수원시 권선구 금곡로196번길 35 719호,,권선구
41113-2019-00134,임은희,더베스트공인중개사사무소,"경기도 수원시 권선구 동수원로177번길 40 상가 129호(권선동, 수원아이파크시티8단지)",031-237-3030,권선구
41113-2019-00059,백정현,더센트라고공인중개사사무소,"경기도 수원시 권선구 서수원로577번길 263 상가동 102호(금곡동, 가온마을3단지)",031-278-8924,권선구
41113-2024-00065,박진우,더수원공인중개사사무소,"경기도 수원시 권선구 장다리로 94 , 2층(권선동)",-5076,권선구
41113-2025-00026,이주석,더수원합동공인중개사사무소,"경기도 수원시 권선구 장다리로 94 , 201호 (권선동)",,권선구
41113-2020-00136,이은희,더심터공인중개사사무소,경기도 수원시 권선구 경수대로199번길 14-12 202호 (세류동),031-295-0955 070-7519-5915,권선구
41113-2024-00039,김규빈,더플러스공인중개사사무소,경기도 수원시 권선구 권선로683번길 19 201호,031-236-4959  031-235-4959  070-4411-6413  031-223-8949,권선구
41113-2024-00016,이대우,더하임부동산공인중개사사무소,경기도 수원시 권선구 권선로669번길 20 203호,031-8067-8102 070-5213-7853 070-5213-7076 070-5213-7712 -,권선구
41113-2025-00032,이다겸,더한샘공인중개사사무소,"경기도 수원시 권선구 권중로 99 ,상가동 101호(권선동)",,권선구
가3680-2575,이선숙,데시앙공인중개사사무소,경기도 수원시 권선구 세권로43번길 26-6 113호 (세류동),031-234-1552,권선구
41113-2020-00137,김은주,델타원공인중개사사무소,"경기도 수원시 권선구 산업로 180 102호(고색동, DH테크타워)",031-278-5949,권선구
41113-2018-00129,심주영,도담공인중개사사무소,경기도 수원시 권선구 세지로28번길 9 (세류동),031-226-2264,권선구
가3680-1026,정청희,도우미공인중개사사무소,경기도 수원시 권선구 매실로 70 엘지삼익(아)단지내상가 105-2(호매실동),294-3500,권선구
가3680-2365,신현관,돈방석공인중개사사무소,경기도 수원시 권선구 고현로 48 (고색동),031-296-4991 2,권선구
41113-2020-00120,유라경,동광공인중개사사무소,경기도 수원시 권선구 금곡로197번길 28 112호,031-298-0777,권선구
가3680-1556,김순래,동방공인중개사사무소,경기도 수원시 권선구 구운중로21번길 13 (구운동),031-292-7878,권선구
나3680-562,이제상,동서부동산중개인사무소,경기도 수원시 권선구 권선로694번길 9 (권선동),031-232-4434,권선구
41113-2019-00137,조수봉,동원부동산공인중개사사무소,경기도 수원시 권선구 권중로50번길 55 1층(권선동),031-234-4959,권선구
41113-2015-00018,윤명자,동해공인중개사사무소,경기도 수원시 권선구 세권로 137 1층(권선동),031-234-8945,권선구
41113-2024-00019,최우진,동행부동산공인중개사사무소,경기도 수원시 권선구 효원로 186 101호,031-221-9334  031-223-9334,권선구
가3680-3165,최금순,두꺼비공인중개사사무소,경기도 수원시 권선구 칠보로 200 지1층(호매실동),031-267-1234,권선구
가3680-1589,이영순,두배로공인중개사사무소,경기도 수원시 권선구 당진로15번길 19-9 (당수동),031-416-9967,권선구
가3680-1725,이기영,두산동아공인중개사사무소,"경기도 수원시 권선구 덕영대로1217번길 24 상가동 101호 (권선동,두산동아아파트)",031-234-7332,권선구
41113-2018-00124,허재윤,둥지부동산 공인중개사사무소,경기도 수원시 권선구 세지로 69 (세류동),031-235-6659,권선구
가3680-1602,김옥주,둥지부동산공인중개사사무소,경기도 수원시 권선구 곡선로50번길 13-1 (곡반정동),031-223-8896,권선구
41113-2025-00022,김미선,드림공인중개사사무소,"경기도 수원시 권선구 금곡로 213 ,  111호 (금곡동)",-,권선구
가3680-2939,최구환,드림공인중개사사무소,경기도 수원시 권선구 동수원로242번길 19 (권선동),237-5005,권선구
가3680-2739,우미정,똑순이부동산공인중개사사무소,경기도 수원시 권선구 금호로 161 (구운동),031-298-9911  031-298-2255  031-292-4440  031-298-3344,권선구
41113-2024-00075,김현석,라온지공인중개사사무소,"경기도 수원시 권선구 구운로85번길 12 104호, (구운동, 라온지오피스텔)",-,권선구
41113-2022-00147,박현숙,라퍼스트하늘채(031-546-0848)공인중개사사무소,경기도 수원시 권선구 곡반정로 160 라퍼스트 114호(곡반정동),031-546-0848,권선구
41113-2022-00148,이태우,라퍼스트하늘채합동공인중개사사무소,경기도 수원시 권선구 곡반정로 160 라퍼스트 114호(곡반정동),031-546-0848,권선구
가3680-2015,손미,럭셔리공인중개사사무소,경기도 수원시 권선구 동수원로146번길 299 (곡반정동),031-244-8500,권선구
3619-163,유선태,럭키공인중개사사무소,경기도 수원시 권선구 금곡로 17 (금곡동),031-292-7788,권선구
41113-2023-00106,유수림,럭키합동공인중개사사무소,경기도 수원시 권선구 금곡로 17 1층(금곡동),031-292-8871  -,권선구
41113-2022-00097,박명숙,레이크푸르지오공인중개사사무소,"경기도 수원시 권선구 입북로77번길 61 219동 107호(입북동, 서수원레이크푸르지오2단지)",031-293-7888,권선구
41113-2018-00008,이지우,로얄공인중개사사무소,경기도 수원시 권선구 금곡로 201 110호(금곡동),031-292-4100,권선구
41113-2021-00063,김현석,리드공인중개사사무소,경기도 수원시 권선구 효원로266번길 19 301호(권선동),031-243-8560   031-236-8560 031-239-8560 031-239-8660   031-239-8760  031-239-8960,권선구
41113-2023-00096,서지희,리드합동공인중개사사무소,경기도 수원시 권선구 효원로266번길 19 301호 (권선동),-  031-239-8760  031-239-8660  031-239-8560  031-239-8960  031-236-8560,권선구
41113-2024-00041,양종화,리치공인중개사사무소,경기도 수원시 권선구 서수원로 99 310동 107호,031-269-0890,권선구
41113-2021-00102,선윤희,리치공인중개사사무소,경기도 수원시 권선구 서수원로 603 (금곡동),031-293-9800,권선구
41113-2024-00081,오태경,마당공인중개사사무소,경기도 수원시 권선구 덕영대로1126번길 36 1층,031-239-7474,권선구
41113-2024-00086,김관홍,마루부동산공인중개사사무소,경기도 수원시 권선구 경수대로 379 권선동,031-285-1239  031-360-0867,권선구
41113-2020-00046,김병각,마실공인중개사사무소,경기도 수원시 권선구 매송고색로 875 수원공구유통상가 E동 162호(평동),031-278-6645,권선구
41113-2019-00013,이범헌,만나공인중개사사무소,경기도 수원시 권선구 경수대로 261 104호(세류동),031-224-3111,권선구
41113-2020-00078,강선구,만애공인중개사사무소,경기도 수원시 권선구 매송고색로 688-2 (고색동),031-892-9494,권선구
41113-2022-00017,송용관,매교역성원공인중개사사무소,"경기도 수원시 권선구 정조로 618 상가동 105호(세류동, 성원아파트)",031-225-5000,권선구
41113-2018-00162,김현미,매교역스타 공인중개사사무소,경기도 수원시 권선구 세지로112번길 45 (권선동),031-233-0098,권선구
41113-2024-00004,유미숙,매교역팰루시드공인중개사사무소,"경기도 수원시 권선구 정조로 618 상가동 105호(세류동, 성원아파트)",031-232-8244,권선구
41113-2024-00002,정병한,매교역팰루시드단지내공인중개사사무소,경기도 수원시 권선구 정조로 622 101호(세류동),031-221-6889,권선구
